num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
0,100,0,0,0,0,0,0,100,0,0
1,100,0,0,0,0,0,0,100,0,0
2,100,0,0,0,0,0,0,100,0,0
3,100,0,0,0,0,0,0,100,0,0
4,100,0,0,0,0,0,0,100,0,0
5,100,0,0,0,0,0,0,100,0,0
6,100,0,0,0,0,0,0,100,0,0
7,100,0,0,0,0,0,0,100,0,0
8,100,0,0,0,0,0,0,100,0,0
9,100,0,0,0,0,0,0,100,0,0
10,100,0,0,0,0,0,0,100,0,0
11,100,0,0,0,0,0,0,100,0,0
12,100,0,0,0,0,0,0,100,0,0
13,100,0,0,0,0,0,0,100,0,0
14,100,0,0,0,0,0,0,100,0,0
15,100,0,0,0,0,0,0,100,0,0
16,100,0,0,0,0,0,0,100,0,0
17,100,0,0,0,0,0,0,100,0,0
18,100,0,0,0,0,0,0,100,0,0
19,50,0,0,50,0,0,50,100,0,0
20,50,0,0,50,0,0,50,100,0,0
21,50,0,0,50,0,0,50,100,0,0
22,50,0,0,50,0,0,50,100,0,0
23,50,0,0,50,0,0,50,100,0,0
24,50,0,0,50,0,0,50,100,0,0
25,50,0,0,50,0,0,50,100,0,0
26,50,0,0,50,0,0,50,100,0,0
27,50,0,0,50,0,0,50,100,0,0
28,50,0,0,50,0,0,50,100,0,0
29,50,0,0,50,0,0,50,100,0,0
30,50,0,0,50,0,0,50,100,0,0
31,50,0,0,50,0,0,50,100,0,0
32,50,0,0,50,0,0,50,100,0,0
33,50,0,0,50,0,0,50,100,0,0
34,50,0,0,50,0,0,50,100,0,0
35,50,0,0,50,0,0,50,100,0,0
36,50,0,0,50,0,0,50,100,0,0
37,50,0,0,50,0,0,50,100,0,0
38,50,0,0,50,0,0,50,100,0,0
39,50,0,0,50,0,0,50,100,0,0
40,50,0,0,50,0,0,50,100,0,0
41,50,0,0,50,0,0,50,100,0,0
42,50,0,0,50,0,0,50,100,0,0
43,50,0,0,50,0,0,50,100,0,0
44,50,0,0,50,0,0,50,100,0,0
45,50,0,0,50,0,0,50,100,0,0
46,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
47,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
48,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
49,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
50,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
51,66.6667,0,0,33.3333,0,33.3333,66.6667,66.6667,0,0
52,75,0,0,25,0,50,50,50,0,0
53,75,0,0,25,0,50,50,50,0,0
54,75,0,0,25,0,50,50,50,0,0
55,75,0,0,25,0,50,50,50,0,0
56,75,0,0,25,0,50,50,50,0,0
57,75,0,0,25,0,50,50,50,0,0
58,75,0,0,25,0,50,50,50,0,0
59,75,0,0,25,0,50,50,50,0,0
60,75,0,0,25,0,50,50,50,0,0
61,75,0,0,25,0,50,50,50,0,0
62,75,0,0,25,0,50,50,50,0,0
63,75,0,0,25,0,50,50,50,0,0
64,75,0,0,25,0,50,50,50,0,0
65,75,0,0,25,0,50,50,50,0,0
66,75,0,0,25,0,50,50,50,0,0
67,75,0,0,25,0,50,50,50,0,0
68,75,0,0,25,0,50,50,50,0,0
69,75,0,0,25,0,50,50,50,0,0
70,75,0,0,25,0,50,50,50,0,0
71,75,0,0,25,0,50,50,50,0,0
72,75,0,0,25,0,50,50,50,0,0
73,75,0,0,25,0,50,50,50,0,0
74,75,0,0,25,0,50,50,50,0,0
